bill_number,position_link,bill_link,house_vote_date,senate_vote_date,override_vote_date,house_passed,senate_passed,law,veto,biden_position,summary,notes,house_roll,house_dem_agree,house_rep_agree,senate_roll,senate_dem_agree,senate_rep_agree,veto_override_roll,veto_dem_agree,veto_rep_agree
HR 2494,https://www.whitehouse.gov/wp-content/uploads/2023/05/SAP_H.R.-2494.pdf,https://www.congress.gov/bill/118th-congress/house-bill/2494,5-17,,,TRUE,FALSE,FALSE,FALSE,oppose,"Make assaulting a law enforcement officer, firefighter or other first responder a deportable offense",,h225-2023,82.9%,0.0%,,,,,,
SJRES 11,https://www.whitehouse.gov/wp-content/uploads/2023/04/SAP-SJRes-11.pdf,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/11,5-23,4-26,6-21,TRUE,TRUE,FALSE,TRUE,oppose,Nullify a rule modifying emission standards to reduce air pollution from heavy-duty engines and vehicles,,h232-2023,98.0%,0.5%,s98-2023,98.0%,0.0%,s167-2023,98.0%,0.0%
HJRES 45,https://www.whitehouse.gov/wp-content/uploads/2023/05/HJR45-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-joint-resolution/45,5-24,6-1,6-21,TRUE,TRUE,FALSE,TRUE,oppose,Nullify a rule canceling certain student loan debt,,h234-2023,99.0%,0.0%,s135-2023,93.8%,0.0%,h277-2023,99.0%,0.0%
HR 467,https://www.whitehouse.gov/wp-content/uploads/2023/05/HR467-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-bill/467,5-25,,,TRUE,FALSE,FALSE,FALSE,support,Permanently place all fentanyl-related substances into schedule I of the Controlled Substances Act,,h237-2023,35.9%,99.5%,,,,,,
HR 3746,https://apnews.com/article/debt-limit-deal-biden-mccarthy-default-01657c829be119850cd65ab9ffb0626a,https://www.congress.gov/bill/118th-congress/house-bill/3746,5-31,6-1,,TRUE,TRUE,TRUE,FALSE,support,"Bipartisan debt limit package, including to increase the federal debt limit; establish new discretionary spending limits; expand work requirements for federal programs; rescind unobligated COVID-19 funding",,h243-2023,78.1%,67.9%,s146-2023,90.0%,35.4%,,,
HR 23,https://www.whitehouse.gov/wp-content/uploads/2023/01/HR-23-S.A.P..pdf,https://www.congress.gov/bill/118th-congress/house-bill/23,1-9,,,TRUE,FALSE,FALSE,FALSE,oppose,Rescind previous funding to the IRS for increased enforcement and operations support,,h25-2023,100.0%,0.0%,,,,,,
HJRES 44,https://www.whitehouse.gov/wp-content/uploads/2023/06/SAP-HJRes44.pdf,https://www.congress.gov/bill/118th-congress/house-joint-resolution/44,6-13,6-22,,TRUE,FALSE,FALSE,FALSE,oppose,Nullify a rule establishing stricter criteria for regulations of firearms with attached stabilizing braces,,h252-2023,99.0%,0.9%,s171-2023,100.0%,0.0%,,,
HR 1615,https://www.whitehouse.gov/wp-content/uploads/2023/06/SAP-HR-1615-1640.pdf,https://www.congress.gov/bill/118th-congress/house-bill/1615,6-13,,,TRUE,FALSE,FALSE,FALSE,oppose,Prohibit the Consumer Product Safety Commission from banning the sale or use of gas stoves,,h255-2023,86.1%,0.0%,,,,,,
HR 277,https://www.whitehouse.gov/wp-content/uploads/2023/06/SAP-H.R.-277.pdf,https://www.congress.gov/bill/118th-congress/house-bill/277,6-14,,,TRUE,FALSE,FALSE,FALSE,oppose,Establish a congressional approval process for major agency or department rules,,h265-2023,99.5%,0.0%,,,,,,
HR 1640,https://www.whitehouse.gov/wp-content/uploads/2023/06/SAP-HR-1615-1640.pdf,https://www.congress.gov/bill/118th-congress/house-bill/1640,6-14,,,TRUE,FALSE,FALSE,FALSE,oppose,Establish limits on energy conservation standards for kitchen ranges and ovens,,h268-2023,86.2%,0.0%,,,,,,
