bioguide,name,chamber,state,district,party,agree_pct,biden_margin
L000596,Anna Paulina Luna,house,,FL-13,Republican,2.1%,-6.8
L000597,Laurel Lee,house,,FL-15,Republican,5.5%,-3.2
L000598,Nick LaLota,house,,NY-1,Republican,9.2%,0.2
L000599,Mike Lawler,house,,NY-17,Republican,12.9%,10.1
L000600,Nick Langworthy,house,,NY-23,Republican,5.5%,-17.2
L000601,Greg Landsman,house,,OH-1,Democrat,85.2%,8.5
L000602,Summer Lee,house,,PA-12,Democrat,94.4%,19.9
L000603,Morgan Luttrell,house,,TX-8,Republican,3.7%,-27.2
M000133,Ed Markey,senate,MA,,Democrat,98.6%,33.4
M000194,Nancy Mace,house,,SC-1,Republican,5.7%,-8.6
M000312,Jim McGovern,house,,MA-2,Democrat,94.4%,30.8
M000317,Nicole Malliotakis,house,,NY-11,Republican,5.7%,-7.6
M000355,Mitch McConnell,senate,KY,,Republican,25.9%,-25.9
M000639,Bob Menendez,senate,NJ,,Democrat,100.0%,15.8
M000687,Kweisi Mfume,house,,MD-7,Democrat,96.2%,63.5
M000871,Tracey Mann,house,,KS-1,Republican,1.8%,-29.6
M000934,Jerry Moran,senate,KS,,Republican,24.2%,-14.6
M001111,Patty Murray,senate,WA,,Democrat,100.0%,19.2
M001135,Kathy Manning,house,,NC-6,Democrat,84.9%,12.4
M001136,Lisa McClain,house,,MI-9,Republican,5.5%,-29.5
M001137,Gregory Meeks,house,,NY-5,Democrat,96.2%,62.4
M001143,Betty McCollum,house,,MN-4,Democrat,96.3%,37.6
M001153,Lisa Murkowski,senate,AK,,Republican,64.2%,-10.0
M001156,Patrick McHenry,house,,NC-10,Republican,6.1%,-39.5
M001157,Michael McCaul,house,,TX-10,Republican,5.6%,-18.8
M001159,Cathy McMorris Rodgers,house,,WA-5,Republican,5.7%,-10.0
M001160,Gwen Moore,house,,WI-4,Democrat,96.2%,53.1
M001163,Doris Matsui,house,,CA-7,Democrat,96.2%,37.2
M001165,Kevin McCarthy,house,,CA-20,Republican,5.5%,-24.9
M001169,Chris Murphy,senate,CT,,Democrat,100.0%,20.0
M001176,Jeff Merkley,senate,OR,,Democrat,97.9%,16.0
M001177,Tom McClintock,house,,CA-5,Republican,5.5%,-12.3
M001183,Joe Manchin,senate,WV,,Democrat,76.7%,-38.9
M001184,Thomas Massie,house,,KY-4,Republican,11.3%,-32.5
M001188,Grace Meng,house,,NY-6,Democrat,94.2%,30.3
M001190,Markwayne Mullin,senate,OK,,Republican,13.6%,-33.0
M001194,John Moolenaar,house,,MI-2,Republican,5.6%,-28.2
M001195,Alex Mooney,house,,WV-2,Republican,2.0%,-37.0
M001196,Seth Moulton,house,,MA-6,Democrat,96.2%,27.6
M001198,Roger Marshall,senate,KS,,Republican,12.9%,-14.6
M001199,Brian Mast,house,,FL-21,Republican,1.8%,-9.4
M001204,Dan Meuser,house,,PA-9,Republican,5.5%,-36.5
M001205,Carol Miller,house,,WV-1,Republican,5.7%,-40.9
M001206,Joe Morelle,house,,NY-25,Democrat,96.2%,19.7
M001208,Lucy McBath,house,,GA-7,Democrat,96.2%,25.8
M001210,Greg Murphy,house,,NC-3,Republican,5.5%,-25.4
M001211,Mary Miller,house,,IL-15,Republican,5.5%,-38.7
M001212,Barry Moore,house,,AL-2,Republican,5.6%,-29.4
M001213,Blake Moore,house,,UT-1,Republican,5.5%,-19.9
M001214,Frank Mrvan,house,,IN-1,Democrat,92.6%,8.4
M001215,Mariannette Miller-Meeks,house,,IA-1,Republican,9.4%,-2.9
M001216,Cory Mills,house,,FL-7,Republican,3.7%,-5.5
M001217,Jared Moskowitz,house,,FL-23,Democrat,80.0%,13.2
M001218,Rich McCormick,house,,GA-6,Republican,3.7%,-14.9
M001220,Morgan McGarvey,house,,KY-3,Democrat,96.3%,22.3
M001221,Marc Molinaro,house,,NY-19,Republican,11.1%,4.6
M001222,Max Miller,house,,OH-7,Republican,6.0%,-9.2
M001223,Seth Magaziner,house,,RI-2,Democrat,96.3%,13.7
M001224,Nathaniel Moran,house,,TX-1,Republican,3.7%,-45.9
M001225,Kevin Mullin,house,,CA-15,Democrat,98.1%,57.3
M001226,Rob Menendez,house,,NJ-8,Democrat,96.3%,45.3
M001227,Jennifer McClellan,house,,VA-4,Democrat,95.6%,35.7
N000002,Jerry Nadler,house,,NY-12,Democrat,94.3%,71.4
N000015,Richard Neal,house,,MA-1,Democrat,96.1%,21.7
N000026,Troy Nehls,house,,TX-22,Republican,5.6%,-16.0
N000179,Grace Napolitano,house,,CA-31,Democrat,97.9%,31.1
N000188,Donald Norcross,house,,NJ-1,Democrat,100.0%,24.4
N000189,Dan Newhouse,house,,WA-4,Republican,5.7%,-17.0
N000190,Ralph Norman,house,,SC-5,Republican,3.8%,-18.2
N000191,Joe Neguse,house,,CO-2,Democrat,96.3%,39.9
N000193,Zach Nunn,house,,IA-3,Republican,5.6%,-0.3
N000194,Wiley Nickel,house,,NC-13,Democrat,84.9%,1.7
O000019,Jay Obernolte,house,,CA-23,Republican,5.8%,-9.8
O000086,Burgess Owens,house,,UT-4,Republican,3.7%,-25.9
O000172,Alexandria Ocasio-Cortez,house,,NY-14,Democrat,94.2%,56.6
O000173,Ilhan Omar,house,,MN-5,Democrat,96.2%,63.1
O000174,Jon Ossoff,senate,GA,,Democrat,100.0%,0.2
O000175,Andy Ogles,house,,TN-5,Republican,4.0%,-11.3
P000034,Frank Pallone,house,,NJ-6,Democrat,98.1%,19.2
P000048,August Pfluger,house,,TX-11,Republican,5.5%,-40.4
P000096,Bill Pascrell,house,,NJ-9,Democrat,96.3%,18.9
P000145,Alex Padilla,senate,CA,,Democrat,100.0%,29.1
P000197,Nancy Pelosi,house,,CA-11,Democrat,96.1%,74.5
P000595,Gary Peters,senate,MI,,Democrat,99.3%,2.8
P000597,Chellie Pingree,house,,ME-1,Democrat,96.2%,22.8
P000599,Bill Posey,house,,FL-8,Republican,2.0%,-17.6
P000603,Rand Paul,senate,KY,,Republican,8.0%,-25.9
P000604,Donald Payne,house,,NJ-10,Democrat,96.1%,62.0
P000605,Scott Perry,house,,PA-10,Republican,3.7%,-4.1
P000607,Mark Pocan,house,,WI-2,Democrat,92.2%,41.8
P000608,Scott Peters,house,,CA-50,Democrat,98.1%,33.1
P000609,Gary Palmer,house,,AL-6,Republican,3.7%,-29.9
P000613,Jimmy Panetta,house,,CA-19,Democrat,85.2%,39.6
P000614,Chris Pappas,house,,NH-1,Democrat,79.6%,5.9
P000615,Greg Pence,house,,IN-6,Republican,6.1%,-31.9
P000616,Dean Phillips,house,,MN-3,Democrat,86.4%,21.0
P000617,Ayanna Pressley,house,,MA-7,Democrat,94.1%,72.4
P000618,Katie Porter,house,,CA-47,Democrat,94.2%,11.1
P000619,Mary Peltola,house,,AK-AL,Democrat,80.4%,-10.1
P000620,Brittany Pettersen,house,,CO-7,Democrat,92.6%,14.2
Q000023,Mike Quigley,house,,IL-5,Democrat,98.0%,39.6
R000103,Matt Rosendale,house,,MT-2,Republican,7.4%,-26.8
R000122,Jack Reed,senate,RI,,Democrat,100.0%,20.7
R000305,Deborah Ross,house,,NC-2,Democrat,98.0%,28.8
R000395,Hal Rogers,house,,KY-5,Republican,5.6%,-59.4
R000575,Mike Rogers,house,,AL-3,Republican,5.5%,-34.1
R000576,Dutch Ruppersberger,house,,MD-2,Democrat,98.1%,20.8
R000579,Pat Ryan,house,,NY-18,Democrat,85.2%,8.4
R000584,Jim Risch,senate,ID,,Republican,12.9%,-30.6
R000595,Marco Rubio,senate,FL,,Republican,13.0%,-3.3
R000599,Raul Ruiz,house,,CA-25,Democrat,96.3%,15.3
R000603,David Rouzer,house,,NC-7,Republican,5.5%,-12.7
R000605,Mike Rounds,senate,SD,,Republican,34.0%,-26.1
R000606,Jamie Raskin,house,,MD-8,Democrat,94.3%,62.6
R000608,Jacky Rosen,senate,NV,,Democrat,98.6%,2.4
R000609,John Rutherford,house,,FL-5,Republican,5.5%,-15.8
R000610,Guy Reschenthaler,house,,PA-14,Republican,5.5%,-31.5
R000612,John Rose,house,,TN-6,Republican,1.8%,-29.1
R000614,Chip Roy,house,,TX-21,Republican,3.7%,-19.7
R000615,Mitt Romney,senate,UT,,Republican,27.3%,-20.2
R000617,Delia Ramirez,house,,IL-3,Democrat,94.2%,41.4
R000618,Pete Ricketts,senate,NE,,Republican,14.7%,-19.0
S000033,Bernie Sanders,senate,VT,,Independent,96.0%,35.4
S000148,Chuck Schumer,senate,NY,,Democrat,98.6%,23.0
S000168,María Elvira Salazar,house,,FL-27,Republican,6.0%,-0.3
S000185,Bobby Scott,house,,VA-3,Democrat,94.3%,38.4
S000250,Pete Sessions,house,,TX-17,Republican,3.8%,-22.5
S000344,Brad Sherman,house,,CA-32,Democrat,96.3%,40.8
