nomation_link,nomination_roll,nomination_vote_date,nomination
PN82,s169-2023,6/21,"Natasha C. Merle, of New York, to be U.S. District Judge for the Eastern District of New York"
PN382,s174-2023,7/11,"Xochitl Torres Small, of New Mexico, to be Deputy Secretary of Agriculture"
PN70,s177-2023,7/11,"Rosemarie Hidalgo, of the District of Columbia, to be Director of the Violence Against Women Office, Department of Justice"
PN168,s178-2023,7/11,"Kymberly Kathryn Evanson, of Washington, to be U.S. District Judge for the Western District of Washington"
PN81,s180-2023,7/12,"Tiffany M. Cartwright, of Washington, to be U.S. District Judge for the Western District of Washington"
PN169,s182-2023,7/12,"Myong J. Joun, of Massachusetts, to be U.S. District Judge for the District of Massachusetts"
PN64,s184-2023,7/13,"Kalpana Kotagal, of Ohio, to be a Member of the Equal Employment Opportunity Commission"
PN94,s187-2023,7/18,"Rachel Bloomekatz, of Ohio, to be U.S. Circuit Judge for the Sixth Circuit"
PN118,s193-2023,7/20,"David M. Uhlmann, of Michigan, to be an Assistant Administrator of the Environmental Protection Agency"
PN645,s214-2023,9/6,"Philip Nathan Jefferson, of North Carolina, to be Vice Chairman of the Board of Governors of the Federal Reserve System"
PN743,s216-2023,9/6,"Gwynne A. Wilcox, of New York, to be a Member of the National Labor Relations Board"
PN644,s218-2023,9/6,"Lisa DeNell Cook, of Michigan, to be a Member of the Board of Governors of the Federal Reserve System"
PN646,s220-2023,9/7,"Adriana Debora Kugler, of Maryland, to be a Member of the Board of Governors of the Federal Reserve System"
PN673,s222-2023,9/7,"Anna M. Gomez, of Virginia, to be a Member of the Federal Communications Commission"
PN551,s224-2023,9/12,"Tanya J. Bradsher, of Virginia, to be Deputy Secretary of Veterans Affairs"
PN287,s226-2023,9/12,"Jeffrey Irvine Cummings, of Illinois, to be U.S. District Judge for the Northern District of Illinois"
PN591,s230-2023,9/19,"Vernon D. Oliver, of Connecticut, to be U.S. District Judge for the District of Connecticut"
PN173,s232-2023,9/19,"Rita F. Lin, of California, to be U.S. District Judge for the Northern District of California"
PN677,s235-2023,9/20,"General Charles Q. Brown, Jr., for reappointment as Chairman of the Joint Chiefs of Staff and appointment in the U.S. Air Force: to be General"
PN537,s237-2023,9/21,General Randy A. George for appointment as Chief of Staff of the Army and appointment in the U.S. Army: to be General
PN691,s239-2023,9/21,General Eric M. Smith for appointment as Commandant of the Marine Corps and appointment in the U.S. Marine Corps: to be General
PN183,s244-2023,9/29,"Todd Gee, of D.C., to be U.S. Attorney for the Southern District of Mississippi"
PN453,s245-2023,9/29,"Tara K. McGrath, of California, to be U.S. Attorney for the Southern District of California"
PN676,s249-2023,10/4,"James C. O'Brien, of Nebraska, to be an Assistant Secretary of State (European and Eurasian Affairs)"
PN451,s251-2023,10/4,"Brendan Abell Hurson, of Maryland, to be to be U.S. District Judge for the District of Maryland"
PN589,s253-2023,10/4,"Susan Kim DeClercq, of Michigan, to be U.S. District Judge for the Eastern District of Michigan"
PN812,s255-2023,10/17,"Jennifer L. Hall, of Pennsylvania, to be U.S. District Judge for the District of Delaware"
PN590,s257-2023,10/17,"Julia Kathleen Munley, of Pennsylvania, to be U.S. District Judge for the Middle District of Pennsylvania"
PN65,s259-2023,10/17,"Karla Ann Gilbride, of Maryland, to be General Counsel of the Equal Employment Opportunity Commission"
PN980,s263-2023,10/24,"Michael G. Whitaker, of Vermont, to be Administrator of the Federal Aviation Administration"
PN155,s265-2023,10/25,"Jessica Looman, of Minnesota, to be Administrator of the Wage and Hour Division, Department of Labor"
PN452,s274-2023,10/31,"Matthew James Maddox, of Maryland, to be U.S. District Judge for the District of Maryland"
PN1062,s276-2023,10/31,"Jacob J. Lew, of New York, to be Ambassador of the United States of America to the State of Israel"
PN882,s287-2023,11/2,Adm. Lisa M. Franchetti for appointment as Chief of Naval Operations and to be Admiral
PN877,s289-2023,11/2,"Gen. David W. Allvin for appointment as Chief of Staff, U.S. Air Force, and to be General"
PN881,s291-2023,11/2,"Lt. Gen. Christopher J. Mahoney for appointment as Asst. Commandant of the Marine Corps, and to be General"
PN649,s293-2023,11/7,"Monica M. Bertagnolli, of Massachusetts, to be Director of the National Institutes of Health, Department of Health and Human Services"
PN84,s295-2023,11/7,"Kenly Kiya Kato, of California, to be U.S. District Judge for the Central District of California"
PN172,s297-2023,11/7,"Julia E. Kobick, of Massachusetts, to be U.S. District Judge for the District of Massachusetts"
PN174,s299-2023,11/8,"Ramon Ernesto Reyes, Jr., of New York, to be U.S. District Judge for the Eastern District of New York"
PN786,s301-2023,11/8,"Charlotte A. Burrows, of the District of Columbia, to be a Member of the Equal Employment Opportunity Commission"
PN165,s305-2023,11/9,"Monica Ramirez Almadani, of California, to be U.S. District Judge for the District of California"
PN813,s306-2023,11/9,"Brandy R. McMillion, of Michigan, to be U.S. District Judge for the Eastern District of Michigan"
PN499,s308-2023,11/13,"Ana de Alba, of California, to be United States Circuit Judge for the Ninth Circuit"
PN903,s315-2023,11/28,"Jeffrey M. Bryan, of Minnesota, to be U.S. District Judge for the District of Minnesota"
PN817,s317-2023,11/28,"Margaret M. Garnett, of New York, to be U.S. District Judge for the Southern District of New York"
PN1022,s320-2023,11/29,"Micah W.J. Smith, of Hawaii, to be U.S. District Judge for the District of Hawaii"
PN1023,s322-2023,11/29,"Jamel Semper, of New Jersey, to be U.S. District Judge for the District of New Jersey"
PN1053,s324-2023,11/30,"Shanlyn A.S. Park, of Hawaii, to be U.S. District Judge for the District of Hawaii"
PN500,s326-2023,12/4,"Irma Carrillo Ramirez, of Texas, to be United States Circuit Judge for the Fifth Circuit"
PN588,s328-2023,12/5,"Loren L. AliKhan, of the District of Columbia, to be U.S. District Judge for the District of Columbia"
PN648,s331-2023,12/6,"Nathalie Rayes, of Massachusetts, to be Ambassador to the Republic of Croatia"
PN904,s336-2023,12/11,"Richard E.N. Federico, of Kansas, to be United States Circuit Judge for the Tenth Circuit"
PN876,s338-2023,12/12,"Harry Coker, Jr., of Kansas, to be National Cyber Director"
PN769,s345-2023,12/14,"Jerry Edwards, Jr., of Louisiana, to be U.S. District Judge for the Western District of Louisiana"
PN771,s346-2023,12/14,"Brandon S. Long, of Louisiana, to be U.S. District Judge for the Eastern District of Louisiana"
PN900,s347-2023,12/18,"Martin O'Malley, of Maryland, to be Commissioner of the Social Security Administration"
PN981,s349-2023,12/19,"Christopher Charles Fonzone, of Pennsylvania, to be an Assistant Attorney General"
PN1103,s351-2023,12/19,"Sara E. Hill, of Oklahoma, to be U.S. District Judge for the Northern District of Oklahoma"
PN36,s352-2023,12/19,"Elizabeth H. Richard, of Virginia, to be Coordinator for Counterterrorism"
